FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian_Other_Pacific_Islander,Percent_Native_Hawaiian_Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
15000,Hawaii,0,2017,0,5599.8,13.10565108,8.192003134,14.09363875,22.28174053,7.6,18.61937473,90.20606469,20.53007162,37.98449612,457.2,30.84700665,6.038971468,86.43517,83.75227,213.81626,23.54,81.5439582,67.91890828,3.616561786,14.5,127198,30034,29.06055498,6.544276717,250.0754282,53.23011229,0,0,27.91093225,40,13431,278.4,48.5541912,5.846375247,8.274668231,205.6,13.7,11.37427037,7.965581289,3.376906318,48.61683,73097,50.10582069,1.8,1431603,21.71223447,16.54886166,33882,2.366717589,6475,0.452290195,533402,37.25907252,142260,9.937112454,148705,10.3873071,327577,22.88183246,62976,4.788168261,49.33148366,109812,8.072625103
16000,Idaho,0,2017,0,6220.1,14.11150477,6.519572253,13.84328387,27.98597721,7.2,19.54748234,75.48798085,15.40558299,32.36814891,337.6,30.53818414,15.73719819,64.11888,64.1719,180.85357,32.1,78.80641325,64.50242083,4.139424536,17.7,89639,21275,24.74812874,7.543757464,212.3771872,69.60938937,7.2,0,16.35405618,21.5,16604,310.4,47.42919229,5.584082936,8.678259812,65.7,14.7,12.99594208,13.07537916,8.517593593,85.62296,48311,48.54634972,1.8,1654930,26.15439928,14.71325071,11478,0.693564078,28833,1.742248917,24609,1.487011535,3383,0.204419522,202430,12.2319373,1365111,82.48753724,32965,2.195158332,49.92253449,461212,29.42187394
17000,Illinois,0,2017,0,6263.4,15.5930076,8.25246988,15.12915911,27.34421639,8,21.23077216,89.35094546,21.19869545,34.15500313,516.5,30.4452641,11.16601654,80.36129,72.59723,173.55372,55.8,85.61080334,67.61738285,5.928428843,19.1,114387,23146,32.40280334,9.768970031,388.3226784,53.03941811,10.45,0,18.51080882,40.1,134841,320.2,51.01990366,6.700535001,9.094807111,322.9,12.9,13.25386023,7.984920701,3.743232687,57.42615,59590,54.09175418,6.3,12859995,23.00679744,14.23233057,1819619,14.1494534,75460,0.586780944,707192,5.499162325,8317,0.064673431,2175116,16.91381684,7957165,61.8753351,558640,4.627350971,50.89815354,1477079,11.51212972
18000,Indiana,0,2017,0,7661.3,17.95809952,8.090871379,20.55285576,31.73283581,7.2,26.29366448,74.84062592,16.82089504,23.64760433,434,35.15853362,13.98800369,67.15321,52.7669,136.1244,57.02,87.22475299,61.43872152,4.793575292,20.4,93735,21327,33.83559368,12.44229258,356.1922145,66.68048447,11.1,0,14.089399,30.3,84266,387,58.27521456,7.350867503,11.11505003,176.4,15.3,17.5919701,11.49507632,7.498955338,64.79165,50510,49.21309714,5.4,6619680,23.86000532,14.59476893,614840,9.288062263,26656,0.402678075,141740,2.141191115,4149,0.062676746,441909,6.67568523,5292562,79.95193121,93283,1.517362737,50.72473292,1786702,27.55639361
19000,Iowa,0,2017,0,5905.5,12.33820503,6.69338575,18.05738989,31.31200278,7.8,23.59842997,75.52612877,20.98685562,25.37136067,382,26.53865493,7.298379669,74.11994,62.61406,122.02699,48.16,90.41975491,69.66677502,3.671251911,14.9,98598,23187,29.03014389,15.3421522,269.6045441,63.44314015,9.6,0,12.05173883,19.5,32500,310.7,44.35277515,5.001088771,9.60841011,75.9,12.4,9.097305878,11.278181,3.369811432,77.53132,54843,40.71426271,1.9,3123899,23.32969152,16.09773555,104892,3.357726994,15662,0.501360639,73564,2.354877671,3209,0.102724192,178620,5.717854515,2707637,86.67492131,45609,1.574376691,50.31766392,1096099,35.98067198
20000,Kansas,0,2017,0,6756.9,15.13547522,7.136317504,17.71521381,30.75508854,7.2,23.4717584,76.47293242,16.853532,27.27272727,384.1,36.16030881,11.72905149,75.03389,55.43266,172.72047,51.91,85.52332261,68.80639456,4.211548738,16.9,100861,23037,29.05511965,13.89108412,347.6900829,68.74378662,8.5,0,13.60721876,20.1,31978,343.6,55.28227691,6.824631898,9.846180512,118.4,14.2,11.38970603,13.58634704,5.63503728,91.94128,53802,49.85443885,4,2911641,24.71310852,14.64500603,171833,5.901586082,34810,1.195545742,84577,2.904788056,3300,0.113338149,336594,11.56028508,2223682,76.37212143,60590,2.250519729,50.07512945,736157,25.80184206
21000,Kentucky,0,2017,0,8931.5,20.89678502,8.914835757,25.94611538,32.89619368,7.1,27.76406719,69.84090076,16.27763931,28.49872774,401.9,44.15488174,9.87460059,66.88634,61.82922,177.39744,77.02,89.17117098,59.44830234,5.398692228,25.3,88830,17257,34.52230406,10.6673748,214.6761808,84.67215242,10,0,14.37968844,28.6,68235,451.8,58.91745221,6.758098283,12.27462391,159.4,16.8,25.4574559,16.89618322,4.5378669,100.83406,45178,56.88672148,4.8,4425092,22.86205575,15.20341272,356885,8.06503006,13012,0.294050384,63953,1.445235489,3701,0.083636679,152224,3.440018874,3767688,85.14372131,41763,1.013443173,50.75596168,1806024,41.61952654
22000,Louisiana,0,2017,0,9346.1,20.96429441,10.76394043,21.87725392,34.52354433,6.5,28.70790364,74.15923511,18.75820967,32.58615859,626,45.48286203,16.93874078,64.82172,51.83351,167.55432,67.51,80.1824504,55.85729104,6.253758324,28.1,96531,17018,44.43220784,9.738312949,510.0944085,77.95836446,9.5,0,16.41683989,32.3,68431,452.2,75.03813579,8.527853775,12.00892241,502.2,17.3,17.54641338,17.21122799,5.382165328,70.33171,45829,63.59420177,11.9,4670724,23.86809839,13.98271446,1496485,32.0396795,35648,0.763222147,85870,1.838473008,3131,0.067034575,232532,4.978500121,2760773,59.10803122,62297,1.443635151,51.10374751,1215567,26.81374924
23000,Maine,0,2017,0,6378.5,14.94470606,6.749120493,19.46582536,28.15505485,7.4,20.23638695,67.69628136,19.64454435,39.75409836,265.8,20.75272001,12.41714822,110.51892,59.12762,422.99568,47.49,87.22148684,65.26316811,4.397933949,17.5,94603,20599,32.88597619,11.23984936,126.6180541,70.30745516,7.4,0,15.7287952,31,16497,320.5,50.93276012,6.230596991,9.867346786,104.1,15.3,16.52573815,11.06088863,6.500030011,113.74168,51419,47.12598292,2,1329328,19.28643646,18.84681584,18285,1.375507023,9194,0.69162765,16378,1.232051081,478,0.035958018,20924,1.574028381,1244470,93.61647389,7683,0.607979463,51.0085547,814819,61.34017786
24000,Maryland,0,2017,0,6420.1,13.2800169,8.839902801,15.11720947,28.91968001,8.2,21.51671935,93.41661771,15.52413961,32.82284768,462.6,25.05983614,8.938181088,88.79917,74.15422,202.13436,46.1,86.96261074,68.56548417,5.197669239,13.9,143016,31468,34.34928109,8.941827422,465.463774,58.14449229,9.5,0,17.15069144,48.1,63422,318.6,52.99705296,7.135566182,10.20765664,641.1,12.7,18.12789484,8.760366981,3.369357687,81.66288,75784,45.03061592,7.4,6006401,22.44648667,14.14442692,1767918,29.43389894,33792,0.5625998,391985,6.52612105,6479,0.107868256,572373,9.529383736,3125763,52.04053143,170284,3.061111495,51.53362221,739221,12.80357395
