FIPS,State,County,Premature_Deaths,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
15000,Hawaii,0,14148,5794.414894,14.16327351,8.275109513,12.79333997,23.7,7.7,20.5,92.53746046,21.12971317,31.20300752,479.8,21.8443974,4.632137117,87.56334,87.08257,249.2096,2202,83,68.6093469,2.446757571,11.8,145096,32967,29.02501434,6.570753283,4048.5,284.2929963,57.4234506,0,0,27.07342433,41.4,278.9982176,50.73260983,5.667643757,10.3,218.4,11.3,14.19356468,7.859641316,2.364063214,61.73922,80527,47.12475876,2.277280689,1420491,21.35979742,18.37160531,27934,1.966503132,5629,0.39627143,534651,37.63846445,144806,10.19408078,151357,10.65525934,309043,21.75606885,63621,4.777639018,49.94674377,109812,8.072625103,2020
16000,Idaho,0,18014,6310.242735,14.56711504,6.785111599,14.3493365,29.3,7.3,20.8,78.89781842,16.58556603,30.23872679,361.1,21.94092617,11.80736053,65.93113,65.1006,208.47015,2652,80.6485493,64.5448406,2.83774418,14.2,101249,23712,24.42740728,7.408516183,3672,221.3645752,74.84883673,7.4,0,15.12149705,22.9,308.3912576,48.16063845,5.241236122,8.9,80.7,12.3,14.14355534,13.64625425,4.242587707,108.25398,55524,43.98342178,2.15422001,1754208,25.47998869,15.86368321,13050,0.743925464,30449,1.735769076,27819,1.585843868,3883,0.221353454,222908,12.707045,1433895,81.74030674,32352,2.055863934,49.88752759,461212,29.42187394,2020
17000,Illinois,0,143465,6683.437224,17.19867644,8.312568644,15.45940345,29.7,8.6,22.3,90.7993932,21.44461807,31.94688537,589.9,21.27818952,7.888526327,79.99517,77.91333,229.60377,5092,85.4,69.16604932,4.302498283,16.2,127239,25553,32.46283918,9.942959796,51758.5,403.070323,62.29673842,11.5,0,17.31993649,41.3,329.1096032,51.65288812,6.276999583,9.9,332.3,10.9,20.63130489,8.526021512,2.941711819,82.38705,65063,49.38755923,7.188126231,12741080,22.42561855,15.64200994,1791197,14.05843932,75567,0.593097289,748722,5.876440616,8445,0.066281665,2214142,17.37797738,7773275,61.0095455,512830,4.257779874,50.86051575,1477079,11.51212972,2020
18000,Indiana,0,90977,8305.9418,19.78454618,8.043442715,21.77782905,33.4,7.1,26.7,75.23554853,17.61904551,19.66386555,514.2,26.50068954,9.608093999,66.1935,56.27718,160.47812,5006,83.8,62.72650696,3.434405145,17.5,103675,23723,33.89833566,12.32372025,25472,385.0669256,77.06510821,11.75,0,13.20276232,31.1,401.1392722,60.74854597,7.146409012,11.9,199.5,13.3,25.04533245,12.16196726,6.312638003,92.61974,55725,49.69470506,6.250469595,6691878,23.43333217,15.76569388,635087,9.490415097,27740,0.414532363,165368,2.471174758,4542,0.067873324,475237,7.101698507,5276640,78.85140763,92192,1.482394555,50.68197597,1786702,27.55639361,2020
19000,Iowa,0,34968,6244.279418,14.49252718,6.706229494,17.08001743,33.2,8.2,23.7,82.94880275,22.10570701,26.89125296,441.6,18.99871314,5.477981637,72.8929,66.69529,156.13985,3808,91.40763703,70.48185207,2.523641727,13.5,108481,25587,29.17990332,15.24297687,8803.5,282.0812331,67.41311705,9,0,12.10406876,20.2,319.3106843,47.60045458,5.00586106,9.7,98.1,10.9,9.982462869,11.1212002,2.942560675,100.97762,60071,40.1793134,2.455091971,3156145,23.15378413,17.10409376,119189,3.77641078,16681,0.528524513,85708,2.715591331,4232,0.134087629,194432,6.160426723,2691471,85.27716566,48024,1.636213663,50.23020172,1096099,35.98067198,2020
20000,Kansas,0,34357,7023.888103,16.0683622,7.095997436,17.38427352,33.2,6.8,24.8,80.12276394,18.67714248,21.87807276,465.3,25.70045263,10.1328187,77.2367,58.42339,197.38932,4024,87.3,69.87477014,3.362168303,14.8,110359,25384,28.52320723,13.710372,10591.5,364.5133369,74.41100681,8.1,0,13.09886545,20.9,351.18288,53.66267941,6.14343538,10.1,122.4,12.7,11.3491688,13.50883272,5.152260405,117.43068,58150,47.56692087,4.604613045,2911505,24.24728792,15.87635948,167341,5.747577284,34817,1.195842013,91229,3.133396645,3619,0.124299975,351180,12.06180309,2202954,75.66375466,60693,2.235820427,50.18363355,736157,25.80184206,2020
21000,Kentucky,0,74299,9717.810869,23.86752536,8.794159756,24.59343153,33.8,7,28.6,71.08850208,17.25353786,26.08004241,433.7,33.65149504,6.368923254,65.64607,64.81064,225.85255,5949,89.7,61.70676884,4.332443585,22.3,98222,19325,33.97946553,10.69105959,9824,222.0004879,93.27819472,10.7,0,13.90571029,30,475.3271987,58.19385283,6.694041103,12.6,184.3,14.9,32.18667674,17.00468111,3.687692655,136.69316,50189,59.67761361,5.640246422,4468402,22.57695257,16.35094604,365332,8.175898229,13412,0.300152045,72806,1.629352059,4058,0.090815464,171933,3.847751389,3766333,84.28814149,42673,1.02437392,50.73158145,1806024,41.61952654,2020
22000,Louisiana,0,71605,9535.216199,21.96667486,10.69951624,23.05077764,35.4,5.2,29.2,75.02622772,19.5900451,33.06047003,742,34.23726125,9.634737384,66.83983,55.04318,297.4263,5957,78.1,56.70686444,4.882714635,26.5,103784,18241,43.32966746,9.642781587,25218,540.501034,86.47166111,9.4,0,15.90418159,33.3,453.6088271,71.55294478,7.926283482,12.8,517.8,16.5,23.12851361,17.45884875,2.973409368,96.71719,48021,54.14047852,12.4763076,4659978,23.51762176,15.41708995,1503104,32.25560292,36500,0.7832655,84271,1.808399095,2889,0.061996001,243811,5.232020409,2729264,58.5681735,64214,1.474733923,51.18519873,1215567,26.81374924,2020
23000,Maine,0,18065,7009.907185,14.99146241,7.091152511,17.30342833,29.9,8.1,21.6,69.96659794,20.21985275,36.72391017,341,15.43736787,10.245537,111.385,64.62922,476.3883,3675,86.66897754,67.81046334,3.367017341,14.8,105696,22947,31.4131816,11.28821093,1674,125.7905115,87.40913823,7.35,0,15.00154234,32.7,337.4450536,44.86595433,6.262058694,10.2,133.9,12.9,28.00945631,11.49881349,4.943425793,142.85672,55579,44.79190435,1.705514314,1338404,18.70914911,20.62150143,20708,1.547215938,9657,0.721531018,16674,1.245812176,455,0.033995714,22850,1.707257301,1246689,93.1474353,7081,0.558272941,51.03324557,814819,61.34017786,2020
24000,Maryland,0,70250,7211.087308,14.90075082,8.669579101,13.84752518,31,9,22.4,92.57129753,16.62922745,28.86354699,552.1,17.24926308,7.029856661,87.67093,77.3824,258.39366,4550,87.7,69.54944705,3.924886547,12.1,157000,34542,33.21378128,8.995110355,27530.5,459.1150697,75.64925409,9.6,0,16.4972055,49.5,339.1524069,52.29721458,6.475835903,10.7,642.8,10.7,36.52407425,8.707266358,3.701935124,106.74005,83076,46.47832164,8.23718374,6042718,22.17790074,15.40922479,1801327,29.80988026,36188,0.598869582,405682,6.713568298,6746,0.111638504,628433,10.39983994,3050812,50.48741311,180954,3.209963136,51.52974208,739221,12.80357395,2020
