State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
New Jersey,Y,1679110.0,8.0,0.419,12.0,180.4,25.0,247.2,2.0,91.1,21.0,79.6,23.0,10.8,17.0,23.7,34.0,22.8,32.0,33.0,35.0,34.6,35.0,69.3,6.0,4.3,3.0,25.6,9.0,6329.0,12.0,181.0,28.0,7.7,35.0,4.2,24.0,7.6,2019
Alaska,Y,221152.0,29.0,-0.027000000000000003,18.0,185.4,11.0,227.6,50.0,75.1,50.0,63.0,6.0,8.8,16.0,23.5,22.0,17.6,23.0,31.8,12.0,31.2,32.0,69.5,15.0,5.5,15.0,29.5,37.0,8513.0,29.0,141.2,50.0,12.0,50.0,6.6,47.0,13.2,2019
Tennessee,N,1433004.0,41.0,-0.303,45.0,217.2,45.0,313.6,10.0,89.0,29.0,76.4,45.0,13.8,23.0,26.0,38.0,24.3,44.0,38.7,41.0,36.5,2.0,79.3,43.0,7.4,38.0,34.4,43.0,9931.0,31.0,139.1,16.0,6.8,18.0,3.5,38.0,9.8,2019
Idaho,N,265065.0,19.0,0.226,17.0,184.8,26.0,247.8,49.0,78.4,45.0,71.1,17.0,10.2,13.0,22.0,15.0,14.5,10.0,29.8,7.0,30.8,36.0,69.2,13.0,5.4,12.0,28.4,15.0,6669.0,50.0,96.6,12.0,6.3,10.0,3.0,40.0,10.6,2019
Michigan,Y,2284611.0,31.0,-0.1,36.0,200.9,41.0,300.7,9.0,89.2,6.0,85.1,32.0,11.7,6.0,18.9,37.0,23.9,36.0,34.7,38.0,35.1,29.0,69.9,36.0,6.6,31.0,33.0,32.0,8111.0,6.0,205.2,31.0,7.9,30.0,4.1,7.0,5.3,2019
Minnesota,Y,1020355.0,11.0,0.343,14.0,181.8,1.0,193.8,17.0,86.9,32.0,75.8,7.0,8.9,29.0,26.7,7.0,12.1,3.0,26.6,3.0,29.0,48.0,66.1,11.0,4.9,20.0,30.1,2.0,5683.0,16.0,169.5,3.0,5.4,5.0,2.8,4.0,4.4,2019
West Virginia,Y,510779.0,40.0,-0.282,48.0,224.9,44.0,303.7,21.0,86.6,15.0,81.4,50.0,16.2,26.0,26.4,50.0,48.3,50.0,43.5,50.0,39.7,12.0,74.7,40.0,7.2,49.0,39.5,50.0,11448.0,14.0,172.8,49.0,9.8,49.0,5.3,16.0,6.3,2019
Hawaii,Y,326580.0,3.0,0.605,2.0,159.1,3.0,209.8,39.0,83.5,7.0,85.0,29.0,11.5,1.0,14.5,12.0,13.3,16.0,30.6,14.0,31.8,31.0,69.8,19.0,5.7,2.0,24.9,7.0,6245.0,8.0,193.9,10.0,6.1,2.0,2.6,2.0,4.0,2019
Nevada,Y,626688.0,36.0,-0.195,23.0,189.7,43.0,302.6,32.0,84.8,46.0,69.5,22.0,10.7,19.0,23.8,33.0,22.1,29.0,32.6,27.0,33.1,20.0,71.3,21.0,5.8,15.0,29.5,30.0,7785.0,48.0,107.4,48.0,9.5,43.0,4.5,43.0,11.2,2019
New York,Y,6480784.0,9.0,0.395,9.0,176.4,30.0,259.4,6.0,89.5,18.0,80.4,26.0,11.0,35.0,28.6,21.0,17.0,7.0,29.4,22.0,32.6,42.0,67.5,7.0,4.5,9.0,27.6,3.0,5830.0,3.0,230.7,35.0,8.1,30.0,4.1,12.0,5.6,2019
