FIPS,State,County,Premature_Deaths,Yrs_Potential_Life_Lost_per100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","Percent_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Number_Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Number_Deaths_due_to_Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural,Year
48275,Texas,Knox,70,11713.9652,19.60260266,8.259587021,14.59686771,24.8,6.4,21.8,39.33853186,17.87102168,50,134.8,23.75296912,25.02578206,26.95418,0,0,4327,98.6,56.95839311,3.615279673,31.5,90741,20517,24.28991185,16.17250674,8.5,221.3829926,63.53576534,7.8,Yes,9.818181818,13.6,557.0765487,0,0,7.5,0,13.2,0,0,18.1640625,164.24856,39726,64.52991453,0,3653,26.41664385,19.8740761,193,5.283328771,50,1.368738024,11,0.301122365,2,0.054749521,1275,34.9028196,2093,57.29537367,174,5.037637522,50.47905831,3719,100,2020
48277,Texas,Lamar,876,9637.440156,19.55862017,8.808290155,17.97348092,34.3,5.8,37.3,63.64750065,15.91878065,15.09433962,641.3,47.15609668,19.4686477,50.41644,60.32819,104.56885,5445,96,52.94269934,3.778074643,22.2,89655,17191,41.41182467,15.3265977,191,386.2448307,78.60716172,9.9,Yes,16.61861075,16.2,481.1951255,57.08486617,6.541648495,15,156.1,20.2,13.41327646,23.32237278,11.85845047,98.53604,45767,62.5695088,6.334471619,49728,23.79544723,19.19843951,6518,13.10730373,913,1.835987774,392,0.788288288,27,0.054295367,4007,8.05783462,36793,73.98849743,496,1.073476896,51.79777992,23444,47.0829233,2020
48279,Texas,Lamb,197,9657.201849,26.10473408,8.672294705,16.31604537,26.4,8.1,27.6,69.37110968,16.32058083,42.85714286,401.2,52.37662731,25.08733223,22.71007,15.19988,22.79982,3037,97.5,49.61907917,4.421574233,27.8,83543,17862,45.36810649,18.92505678,43,341.4730991,79.57718987,7.5,No,11.83800623,21.5,472.4611908,0,0,18.2,189,13,0,29.66573078,14.67720685,68.39945,42700,70.2529511,0,13158,27.8005776,16.84146527,449,3.412372701,226,1.717586259,52,0.395196838,15,0.113999088,7351,55.86715306,5155,39.17768658,923,7.50894891,50.4255966,8063,57.68762968,2020
48281,Texas,Lampasas,299,6657.886622,16.64028791,5.856142584,14.28050267,30,7.2,25.3,49.00645424,18.46098366,12.5,527.9,33.0405688,20.15105919,42.80211,14.13161,51.81591,7743,99.2,60.46803176,3.710916369,20.2,109528,26315,31.00775194,14.74294954,26,140.6089449,74.20971473,9,Yes,14.96374423,39.9,362.213982,0,0,5.7,69.2,14.5,0,25.67857366,12.79347394,32.97376,55151,50.70960699,0,21229,22.10184182,19.61938857,745,3.509350417,274,1.290687267,289,1.36134533,100,0.471053747,4209,19.82665222,15304,72.09006548,174,0.892124692,50.7230675,13433,68.26752046,2020
48283,Texas,La Salle,85,7939.209294,27.67783616,9.198813056,14.49544564,29.5,6.3,24.6,0.377577694,19.27207251,13.88888889,329.6,63.01575394,16.56115989,0,0,53.1138,4701,87.6,17.9379715,2.435312024,35.5,80443,18138,29.24120913,5.274261603,6.5,84.91182234,60.79348717,8.2,No,24.52380952,31.8,397.2683418,0,0,9.1,138.8,5,0,0,7.469414037,119.50604,40072,87.39130435,0,7531,19.62554774,13.7166379,43,0.57097331,57,0.756871597,28,0.371796574,2,0.026556898,6557,87.0667906,858,11.39290931,645,9.346471526,40.81795246,3192,46.35492303,2020
48285,Texas,Lavaca,283,6553.872113,16.15586349,7.398119122,12.80381271,35.5,7.6,33.5,62.29559259,18.33732477,25,159.5,32.09084177,18.19662519,69.78367,29.8359,14.91795,5587,98.7,51.28717821,3.153460838,22.2,112427,22065,26.61564626,12.46136975,30.5,153.6253054,70.32490104,9.6,Yes,14.27648579,31.9,348.4058421,0,0,19,102.5,14.7,0,32.47057805,12.26661313,54.69915,51128,42.53486464,0,20110,23.62506216,23.28692193,1176,5.847836897,128,0.636499254,102,0.507210343,17,0.084535057,3871,19.24912979,14717,73.18249627,376,2.005119454,51.15862755,15664,81.31651352,2020
48287,Texas,Lee,242,8047.590251,17.96176384,7.579972184,14.87823401,41.1,7.7,35,47.1887792,18.40664385,21.42857143,139.7,36.95849743,22.04799066,23.27882,29.16472,58.32944,3788,95.1,49.406802,3.108753316,17.8,97559,21232,40.632806,11.05744049,42.5,252.5027478,83.50779798,9.7,Yes,15.96009975,33.9,382.5606754,66.22516556,0,15.5,139,14.8,0,28.75239956,13.20854205,34.99767,55834,63.83298288,0,17144,21.87354176,18.49043397,1802,10.51096594,195,1.137424172,97,0.565795614,37,0.215818945,4094,23.88007466,10861,63.35160989,474,2.955296465,49.78418106,11582,69.72068384,2020
48289,Texas,Leon,323,11166.97105,18.14080961,7.196710075,15.69202865,33.8,6.9,27.8,19.3083745,16.87507846,16.98113208,272.6,47.20384847,24.65490798,0,17.37116,11.58078,5009,96.8,37.07120208,5.020308692,24.4,108657,21430,36.35430039,17.97831004,17.5,110.752484,109.6094871,9.7,No,12.42038217,46.8,482.676726,64.12722842,0,19.5,180.5,18,0,44.42432777,16.96670777,28.95194,47065,51.46875,0,17270,22.5014476,24.4701795,1185,6.861609728,153,0.885929357,129,0.746960046,4,0.023161552,2593,15.01447597,13087,75.77880718,575,3.5885914,50.27793862,16801,100,2020
48291,Texas,Liberty,1475,10088.85024,20.35178764,8.748403576,16.68617232,33.8,6.7,38.3,54.51793292,18.80508827,22.4137931,377.7,49.45711184,21.67288649,23.90686,25.48568,18.53504,7337,91.2,38.77588168,5.847754079,23.2,96358,21414,28.74128546,8.72600349,323.5,409.6518276,87.67730843,10.3,No,15.16985553,59.7,529.5376381,72.51546802,7.02172761,19.7,396.3,17.8,10.33037328,30.55420351,13.22464573,39.38695,52577,66.21240602,4.618658671,86323,26.49120165,12.80307682,8108,9.392630006,1011,1.171182651,656,0.759936518,92,0.106576463,23113,26.7750194,53087,61.49809437,3012,3.955507111,50.42572663,47827,63.22726492,2020
48293,Texas,Limestone,390,9744.678338,21.40429079,10.06259027,16.95034533,29.5,6.4,29.9,61.41806363,16.66788151,20.83333333,276.3,46.5416936,21.13894701,34.00349,29.76317,46.7707,6417,95.3,44.50501143,4.679128468,33,83791,19579,33.30811424,9.350958473,87,372.7426576,63.90701955,9.9,Yes,13.48663766,29.3,460.453596,60.89278186,0,23,137.4,19.2,0,23.74154588,11.29860602,63.77822,43226,74.53634085,0,23519,22.39465964,19.47786896,3918,16.65887155,286,1.216038097,188,0.799353714,18,0.076533866,5335,22.68378758,13648,58.02967813,1132,5.143817876,48.36940346,12538,53.61785837,2020
48295,Texas,Lipscomb,0,0,17.45795832,6.309148265,13.91932273,28.1,6,28.1,0.514839491,19.09777629,0,0,41.52249135,29.49873783,0,0,0,5581,97.7,49.9424626,2.715751358,17.5,106091,25532,24.58654906,29.60331557,4.5,125.3132832,69.19617115,7,Yes,7.692307692,24.3,360.5419502,0,0,5.7,0,12,0,0,27.49731472,29.80626,57332,62.53229974,0,3355,25.84202683,18.12220566,28,0.834575261,70,2.086438152,26,0.774962742,6,0.178837556,1157,34.48584203,2049,61.07302534,136,4.24867229,48.31594635,3302,100,2020
48297,Texas,Live Oak,154,7364.589051,20.5856963,7.508161045,14.5217772,28.7,8,21.4,33.78718238,17.92072306,13.95348837,747.5,32.0945946,20.76647813,8.21423,16.43926,16.43926,4756,92.4,44.35727218,3.764570992,25.6,102708,22783,29.43615257,11.49991786,39,320.0787886,85.64464062,9.2,No,13.35149864,51,349.9833586,0,0,14.5,106.7,12.5,0,28.48766128,15,32.87851,48814,61.41732284,0,12166,19.8915009,20.59016932,500,4.109814236,149,1.224724642,92,0.75620582,12,0.098635542,4919,40.43235246,6496,53.39470656,625,5.449947681,45.19973697,11531,100,2020
48299,Texas,Llano,391,8687.741698,16.33204843,8.12445981,13.02391665,26.5,6.6,27.1,79.56064453,15.06533756,35,56.6,47.19255942,20.65800103,80.15087,50.8177,55.43749,5108,96.1,45.625966,3.663818331,23.4,105524,24116,30.17613825,12.25836869,25.5,141.3368806,98.51351879,8.8,Yes,13.70096646,33.9,400.7890452,0,0,11.7,141.7,15.6,17.40010756,18.43278768,13.42143906,27.71875,54019,58.89917696,0,21646,15.5132588,36.11752749,217,1.002494687,205,0.947057193,133,0.614432228,8,0.03695833,2367,10.93504574,18573,85.80338169,417,2.101390849,51.57534879,8720,45.17900627,2020
48301,Texas,Loving,0,0,15.31215414,0,14.34341959,28.9,2.9,22.9,0,22.25831074,30.76923077,0,0,21.09375,0,0,0,0,0,100,3.921568628,9.6,110143,38000,0,0,0.5,452.4886878,0,6.6,No,22.85714286,30.3,0,0,0,4.5,0,17.7,0,0,17.64705882,0,78637,0,0,152,34.21052632,9.868421053,7,4.605263158,1,0.657894737,0,0,0,0,25,16.44736842,119,78.28947368,6,7.228915663,44.07894737,82,100,2020
