FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
48439,Texas,Tarrant,6357.035604,15.93396708,8.230987668,15.327162,29.6,7,22.4,93.31389018,17.80918658,24.33795713,465.6,31.60288549,17.04810686,56.62233,57.72764,107.03464,5484,89.4,62.67834719,3.675348417,17.1,121535,27612,33.07985221,6.971191033,7977,402.7178025,47.92777456,10.6,Yes,17.50836753,41.9,324.7,52.7973263,6.729826854,10.2,310.3,16.6,9.861501244,9.889511649,8.835254687,70.48029,65021,54.92721591,5.2,2054475,26.58041592,11.02870563,334933,16.30260772,18163,0.88407014,116433,5.667287263,4971,0.241959625,593452,28.88582241,962516,46.84973047,116369,6.32315129,51.04846737,23304,1.288201327,2019
48441,Texas,Taylor,9393.764451,18.87046807,8.809507359,18.42011225,32,6.4,26.1,86.4743814,18.6610783,18.86792453,493.2,40.40460646,16.35879954,68.84682,78.50906,149.68083,4187,86.1,62.23148257,3.539367067,20.8,97406,21550,35.52822434,12.89046765,580,426.2026447,71.96196633,8.2,Yes,15.70490147,10.5,473.7,53.63488055,5.770701523,9.4,200.9,17.5,13.20693805,16.51905409,8.318487443,120.33165,50338,57.838861,4.7,136290,24.73328931,14.2710397,9959,7.307212561,1373,1.007410668,3120,2.289236188,182,0.133538778,33365,24.48088635,86504,63.47054076,2712,2.16290365,51.09986059,21085,16.03348897,2019
48443,Texas,Terrell,0,24.55306575,0,15.25615744,28.2,5.4,26.4,0,14.5611484,66.66666667,0,0,21.59468439,0,0,0,1647,90,53.26086957,4.859335038,23.3,74625,9824,26.66666667,0,1.5,177.5147929,0,7.2,No,4.086021505,34.9,869.1,0,0,11.6,0,10.2,0,0,16.07142857,123.45679,39033,47.94520548,0,810,21.85185185,28.14814815,9,1.111111111,29,3.580246914,4,0.493827161,0,0,427,52.71604938,346,42.71604938,20,2.797202797,50.12345679,984,100,2019
48445,Texas,Terry,9535.698126,23.92748215,9.679767103,16.68908107,30.1,7.2,25,74.91897874,17.72301065,56.25,384.6,79.95658466,24.22822211,31.25244,31.45891,0,5711,92.2,38.11400849,4.995233556,30.2,86776,23676,40.30582804,13.28228768,32.5,254.184264,80.01882796,7.3,Yes,11.24845488,31.5,503.4,71.96833393,0,9.7,98.1,10.5,0,16.8495782,13.2210875,47.18836,40899,76.00492207,0,12715,27.33779001,14.6991742,545,4.286276052,148,1.163979552,83,0.652772316,9,0.07078254,7002,55.06881636,4992,39.26071569,698,5.953599454,46.79512387,3121,24.66998656,2019
48447,Texas,Throckmorton,0,14.75374824,0,13.72805993,27,5,24.7,57.34308349,17.86893121,0,0,0,20.96491228,65.23157,0,65.48788,6738,95.5,67.04980843,4.335260116,27.1,97795,13776,49.52978056,19.56947162,0,0,0,7.7,No,12.14285714,27.3,430,0,0,11.7,0,15.7,0,0,16.41791045,65.48788,38162,62.01298701,0,1527,20.89063523,27.30844794,15,0.982318271,18,1.178781925,7,0.458415193,0,0,220,14.40733464,1259,82.44924689,10,0.688231246,52.25933202,1641,100,2019
48449,Texas,Titus,7547.850451,22.98869175,7.456387169,17.36392824,29.7,7.3,26.8,62.98633018,17.47616302,21.21212121,389.3,52.45114844,24.30580729,55.22828,42.54802,60.78288,4684,96.9,44.56508017,5.341979311,24.8,89245,21801,32.49682338,11.04565538,115.5,353.0274781,66.17403772,10,No,16.63479924,18.7,386.3,29.05287624,0,10.5,116.5,15.9,0,21.44748649,12.37889095,66.86117,47097,75.53521127,5.3,32904,28.93569171,14.0681984,3021,9.181254559,789,2.397884756,383,1.16399222,58,0.176270362,14242,43.28349137,14854,45.14344761,3109,10.31109048,50.85399951,16347,50.55668955,2019
48451,Texas,Tom Green,7387.743019,18.19414957,7.876217972,15.3626745,28.6,6.7,23.2,76.22387139,18.97926674,24.61538462,596.9,38.17966078,17.18140087,69.26495,53.38124,133.02943,5413,89.2,58.81039449,3.679425217,19.9,96416,23138,29.59354933,11.4033754,375,317.5423072,63.81468489,8,Yes,14.11558669,11.3,379.6,54.76795446,4.515895954,10.9,95.6,13.7,11.2831796,15.0398927,9.533314978,88.96873,49462,53.48695254,4.2,118019,23.74532914,15.22720918,4294,3.638397207,1308,1.108296122,1633,1.38367551,179,0.151670494,47173,39.97068269,62842,53.24735848,2725,2.502594433,50.27410841,17240,15.64087676,2019
48453,Texas,Travis,4649.3221,13.95568864,7.689601674,13.20207989,21.5,7.3,16,92.15360073,22.58923656,28.37837838,732.5,28.2882853,15.20962125,85.3815,68.96563,251.89574,4268,89.6,73.30323319,2.994611845,14.7,136020,29536,29.70054909,9.513700646,4357.5,370.132377,56.53075794,10.5,Yes,20.68212601,35.2,243.1,41.12878987,4.130366874,7.1,458,15.2,11.9358937,9.709472661,8.876380477,84.12829,72785,49.27944627,3,1226698,22.11057652,9.560136236,98262,8.01028452,15249,1.243093247,86540,7.054711103,1441,0.117469826,416156,33.92489431,601411,49.02681834,76534,6.969884351,49.48218714,55961,5.463522171,2019
48455,Texas,Trinity,12336.0596,19.30939543,7.438016529,17.24532745,31.7,7.2,27.5,83.54473774,15.55125222,29.16666667,243,50.6592644,21.7253291,13.8485,6.81803,13.63605,4412,89.3,47.7124183,5.516213194,35,70824,16142,36.16147793,13.84849744,24.5,188.4687873,103.9818101,9.8,Yes,14.27230047,52.3,586.1,0,0,14.1,226,19.2,0,38.57719395,12.33198925,61.36224,34741,67.75862069,0,14667,20.17454149,26.08577078,1367,9.320242722,124,0.845435331,64,0.436353719,7,0.047726188,1429,9.742960387,11511,78.48230722,198,1.432498915,51.46246676,11265,77.23688721,2019
48457,Texas,Tyler,10351.33712,16.25033482,9.584450402,15.88416708,28.9,5.4,27.4,52.28337775,19.10345815,14.28571429,220.2,49.44343774,16.45476445,14.07129,9.28548,23.21371,6459,92.3,37.58402933,7.310852933,26.7,89817,17877,25.4468719,14.54033771,63.5,297.0899223,117.660242,9.3,Yes,13.29987453,49.7,467,96.48435144,0,11.4,218.3,19.8,15.57486839,31.28911139,8.710965015,32.49919,43394,59.21052632,7.3,21539,19.29523191,22.0530201,2281,10.59009239,175,0.812479688,132,0.612841822,11,0.051070152,1657,7.69302196,17042,79.12159339,241,1.184042449,46.17205998,17006,78.13103005,2019
