FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair_Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Percent_Non-Hispanic_Black_or_African_American,Percent_American_Indian_or_Alaskan_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non-Hispanic_White,Percent_Not_Proficient_in_English,Percent_Female,Percent_Rural
48041.0,Texas,Brazos,2020,15,4877.9487222,17.973388847,7.6380852183,14.152728089,29.1,5.8,20.1,88.634905646,18.956604174,29.292929293,702.8,18.112259303,16.900472534,85.2668,51.59686,86.87676,4681.0,85.7,69.743257527,2.839616023,20.2,104400.0,17455.0,33.943379403,7.5842570569,317.12946081,36.465197214,10.1,,27.000461772,10.6,1408.0,267.98686797,42.843489437,4.5098750713,8.0,204.8,20.3,3.7313154379,10.346970641,10.659824353,59.53483,50113.0,56.573967418,2.6701859718,226758.0,20.588027765,9.1560165463,10.428739008,0.6742871255,6.5739687244,0.1159826776,26.025542649,55.284488309,4.6001157323,49.450074529,12.063576784
48043.0,Texas,Brewster,2020,80,8207.7134385,21.545321723,6.338028169,14.441223413,25.9,7.2,26.8,57.939774697,17.034367803,66.666666667,503.4,26.734563972,19.784916586,64.26047,32.37294,129.49174,3900.0,98.7,61.351237935,3.3727227967,21.2,94968.0,19365.0,24.924379915,18.207132912,162.60162602,101.90364685,6.3,,18.181818182,12.5,136.0,372.76583678,0.0,0.0,12.0,0.0,12.3,0.0,18.540263272,11.826821542,75.53685,45670.0,51.791277259,0.0,9267.0,18.819466926,23.135858422,1.2301715766,1.7157656199,1.3596633215,0.1834466386,45.030754289,50.350706809,2.1079161416,49.455055574,34.867850953
48045.0,Texas,Briscoe,2020,122,0.0,19.311017965,0.0,14.333748709,26.0,4.0,28.5,71.227855834,16.689721391,50.0,916.2,0.0,31.431079895,0.0,0.0,0.0,4263.0,100.0,50.501672241,3.9355992844,24.3,92409.0,20466.0,41.155234657,0.0,0.0,0.0,6.9,,8.5714285714,27.3,21.0,307.49041215,0.0,0.0,10.2,0.0,13.4,0.0,0.0,25.079365079,65.96306,44409.0,54.411764706,0.0,1516.0,18.733509235,26.187335092,3.364116095,0.7915567282,0.2638522427,0.0,24.802110818,69.19525066,4.6448087432,50.593667546,100.0
48047.0,Texas,Brooks,2020,231,8970.8628617,38.22644594,8.4158415842,18.203002328,36.9,7.0,25.8,42.018551848,13.457787455,13.333333333,732.6,88.196286472,16.660947152,0.0,14.056790000000001,14.056790000000001,9230.0,89.7,40.196078431,6.464811784,48.6,66571.0,11022.0,58.428184282,4.1465100207,234.27272101,72.24831189,8.6,,20.689655172,21.1,107.0,462.36029779,0.0,0.0,11.9,192.9,14.7,0.0,19.847176739,6.2560153994,28.113580000000002,30116.0,79.924480806,0.0,7114.0,28.296317121,18.315996626,0.5341579983,0.6466123137,1.1245431543,0.0421703683,91.565926342,6.6488614001,9.192992963,49.465842002,31.759656652
48049.0,Texas,Brown,2020,178,9384.3393506,18.475035705,9.1098748261,15.156660418,38.6,6.5,33.7,64.869049494,18.417298375,31.578947368,562.4,35.025706941,18.688312572,49.93036,42.18964,181.94283,3495.0,96.5,55.211594203,3.7332838039,21.2,90225.0,21850.0,27.463186879,17.607021785,314.49865215,71.128626901,8.3,,10.890718563,11.1,690.0,482.53824516,61.394532963,8.7138375741,12.7,140.2,15.8,0.0,16.957391727,10.482395976,81.74243,47097.0,62.892263196,4.5219711272,37924.0,22.149562282,19.924058644,3.5465668178,0.8569771121,0.8068769117,0.0791055796,22.748127835,70.978799705,1.9507559878,50.522096825,40.40046187
48051.0,Texas,Burleson,2020,95,8224.0721368,17.625474698,8.2162921348,14.072572987,38.4,7.3,25.0,49.874905452,17.635401462,40.0,388.7,38.600388781,19.837603248,38.86514,5.4380299999999995,10.87607,5873.0,94.2,43.52734571,3.5874984799,23.7,103226.0,23988.0,29.648368328,12.214757648,173.87133521,77.638877949,9.8,,12.137823023,49.9,315.0,429.69905424,0.0,0.0,4.8,187.8,16.1,0.0,25.94601607,11.930326891,43.50427,53626.0,61.390374332,0.0,18389.0,22.181739083,20.419816194,12.463973027,1.0712926206,0.4078525205,0.0380662352,20.827668715,64.408070042,2.581837696,50.812986024,76.65677547
48053.0,Texas,Burnet,2020,22,6882.3203262,16.537019165,6.6547831254,13.382040532,31.3,7.0,27.3,62.977777778,17.880923835,28.125,489.3,33.833419555,21.283299108,47.004529999999995,42.06807,65.2055,4438.0,92.9,53.423952219,2.8654539139,18.6,108477.0,26706.0,31.697882736,13.246731049,247.74134894,83.984501829,9.1,,12.791411043,33.5,631.0,333.7722844,0.0,0.0,17.8,139.0,13.5,14.225864043,23.250991309,13.95107207,58.895289999999996,56696.0,60.123772366,4.3988361936,47542.0,21.393715031,22.348660132,1.7984098271,1.1926296748,0.9233940516,0.0799293256,22.670480838,72.946026671,2.4118909687,50.999116571,55.67251462
48055.0,Texas,Caldwell,2020,158,8696.0903756,23.058850624,8.6456908345,15.43705445,39.1,7.7,27.3,58.719066884,17.439645173,28.070175439,1065.2,38.595173256,21.692969871,28.343329999999998,30.05989,76.30587,5634.0,90.2,41.115080857,3.6193169914,20.7,98741.0,23569.0,34.438513652,8.7391941046,219.3145491,72.919383034,10.1,,16.067903672,51.5,611.0,437.05860465,35.163510323,0.0,10.6,254.0,12.5,11.834693008,23.154320035,11.133583743,50.87058,52588.0,73.376539209,3.8590533391,43247.0,23.823617823,14.359377529,5.732189516,1.5561773071,1.0127870141,0.1017411612,53.032580295,38.985363147,5.3909952607,49.541008625,42.292334367
48057.0,Texas,Calhoun,2020,46,7461.448123,20.950035718,7.2342519685,14.001674427,30.7,7.2,22.7,55.217248959,17.672879456,50.0,303.5,53.227408143,19.235082997,50.58867,41.74203,13.914010000000001,7189.0,93.0,47.79342723,4.1380540444,24.0,112735.0,25034.0,38.280812978,9.6578366446,512.48390599,59.653824269,9.4,,16.346153846,20.2,301.0,387.77718507,0.0,0.0,13.5,88.8,12.5,0.0,20.34427768,11.57744976,60.29405,52085.0,72.562068083,0.0,21561.0,24.196465841,17.949074718,2.5462640879,0.8209266732,5.4635684801,0.0510180418,49.121098279,41.732758221,5.7483143856,48.620193869,44.731303494
48059.0,Texas,Callahan,2020,193,8864.0044618,16.77024025,11.263467189,15.452111313,34.8,6.6,29.5,54.555522741,18.198158593,11.904761905,179.3,29.644268775,18.546793605,7.17051,21.43776,7.145919999999999,4217.0,94.0,57.615230461,3.3538103935,20.2,87744.0,17846.0,22.3125,13.623978202,88.394534271,77.001307569,7.9,,13.167938931,31.7,247.0,443.87175838,0.0,0.0,13.4,43.1,16.4,0.0,19.818090788,10.895883777,57.167359999999995,50330.0,52.479174931,0.0,13994.0,22.502501072,20.501643562,1.4649135344,0.8003430041,0.7003001286,0.1000428755,9.911390596,85.765327998,0.6213085833,50.478776619,72.179562906
