FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
46000,South Dakota,0,2019,7339.778915,11.78127035,6.434382447,18.10811899,31.1,6.6,19.9,71.84995947,20.18982465,35.84615385,504.5,28.17432444,10.36114962,75.79837,59.21814,170.18028,4724,83.7,68.29337724,3.328998071,16.3,100226,24138,30.93443405,16.43068262,372.797154,79.85290475,5.6,0,11.98543191,14.5,9632,334.2,68.363075,6.76400231,9.1,73.3,11.7,7.981218304,15.81757977,5.00910539,135.68427,56871,37.87194543,3.3,869666,24.70557662,16.28487258,17706,2.035954033,78456,9.02139442,12901,1.483443069,719,0.082675418,32811,3.772827729,714881,82.20178781,7749,0.974432618,49.52545,352933,43.34827679
47000,Tennessee,0,2019,9121.436865,19.09359684,9.130769613,22.08780772,33,6.3,26.7,70.62106599,14.44362912,26.23574145,489.4,33.1674855,10.63826248,72.19756,53.21633,141.91517,5305,89.8,60.20646137,3.706421181,21.1,97093,20480,35.45946988,11.28368831,620.7697773,85.55770492,10,0,15.07313675,34.3,104195,446.6,62.06849896,7.225652944,12.9,297.4,14.5,24.35460424,15.12020201,3.675177066,127.12955,51319,0,7.2,6715984,22.44647992,16.03044319,1126692,16.77627582,30876,0.459739035,125244,1.864864479,6428,0.095711961,366554,5.457934385,4963780,73.9099438,94475,1.525068675,51.22135491,2132860,33.60896172
48000,Texas,0,2019,6681.323364,18.17376592,8.331095564,14.26313588,29,6,22.8,80.25715155,19.40866264,27.68223677,520.4,37.44036811,18.56366524,60.34972,56.84236,104.47067,4966,89.1,60.86459136,4.267856841,21,116315,23839,32.95724374,7.628865595,420.3901404,55.78968706,8.75,0,17.96955907,37.7,290962,341.1,51.25222286,5.721778563,9.7,368.9,15.4,10.05305041,13.22789294,9.724243479,72.69137,59195,58.95267866,5.3,28304596,26.02417996,12.26907461,3368473,11.90079873,287312,1.015071899,1417555,5.00821492,40740,0.143934222,11156514,39.4159097,11886381,41.99452626,1949158,7.662458671,50.31975373,3847522,15.30099885
49000,Utah,0,2019,6090.837929,12.11738118,7.021992559,8.78225641,25.9,7.8,16.1,85.16805149,13.39648046,20.41284404,315.7,19.14018692,9.65785596,56.50204,67.18608,303.91707,2551,0,70.32256611,3.244386072,10.6,116448,30703,18.24031319,3.41830817,229.4415576,66.72561519,5.6,0,14.84789637,23.9,24242,292.5,48.92112948,5.243806035,7.2,116.4,12.5,21.10620333,8.482838729,5.990858344,82.0805,68395,36.4752027,2.1,3101833,29.87585083,10.81850635,34090,1.099027575,47581,1.53396395,79393,2.559551078,32429,1.045478593,434288,14.00101166,2434785,78.49503826,65392,2.386632929,49.65273759,260290,9.417540889
50000,Vermont,0,2019,6081.421931,12.50732025,6.681938751,17.01971824,25.5,8.8,18.6,75.06412398,20.64737355,35.21594684,269.9,13.4759045,4.694232707,113.19353,70.39126,433.732,3308,89.15708002,67.48819476,3.01251298,12.8,108587,24355,30.76721323,13.75293391,128.7609219,79.84051083,6.5,0,17.06686369,30.4,7262,299.7,38.37588233,4.395234893,8.2,123.7,12.1,19.10053551,9.771852362,1.665675193,108.7136,58271,38.5487744,1.9,623657,18.73225186,18.73930702,7846,1.258063327,2413,0.386911395,11348,1.819589935,233,0.03736028,12060,1.933755253,579149,92.86338484,3122,0.524876136,50.5728309,382356,61.10451449
51000,Virginia,0,2019,6360.326448,15.91690416,8.039927633,15.29677425,28.8,8.9,21.6,82.26754475,17.35946048,31.13804004,473.2,19.08739087,9.939772139,76.35695,67.87469,159.31485,4454,86.9,70.37990358,3.751905283,14,137501,28690,29.81118126,11.21875345,206.9649853,60.21526341,8.9,0,15.20642161,39.4,92540,319.7,49.19214701,6.144031572,10,307.7,10.6,15.63834551,9.51594821,4.877680779,83.91952,71518,41.23877665,4.5,8470020,22.06814152,15.01092087,1619082,19.11544483,45889,0.541781483,575117,6.790031192,9601,0.113352743,795323,9.389859764,5241262,61.88016085,205440,2.615061297,50.80617283,1963930,24.54598311
53000,Washington,0,2019,5603.333738,13.90196499,6.370387448,13.94537086,27.6,8.1,16.4,86.81575245,18.17591265,33.1372549,435.9,19.64401247,6.889029762,82.13502,80.84266,322.76302,2914,79.4,70.06775518,4.75987329,14.2,127499,28344,28.13355775,8.707464325,293.8005635,64.40087105,7.4,0,17.60681327,35.6,72957,287.9,39.78503753,4.493682364,8.7,208.3,12,15.39053025,7.798633244,2.747407848,85.42019,70942,43.59191077,3,7405743,22.22350951,15.05645011,283735,3.83128337,141535,1.911151926,660928,8.924533298,56953,0.769038299,940792,12.70354642,5091370,68.74894254,250668,3.729167479,49.99187793,1072671,15.95158925
54000,West Virginia,0,2019,10472.51599,24.09818846,9.431578947,24.80541137,36.3,6.9,27.8,60.38109136,11.8329195,30.74792244,261.4,36.20153278,6.516831382,78.805,53.63858,120.21872,5683,89.4,54.65976566,5.202020461,24.4,88813,18146,33.77052282,12.93756437,329.8991587,113.8356041,9.6,0,11.45514179,33,33861,493,61.14870501,7.138388033,14.4,113.3,14.6,47.03986661,16.62728856,2.358237558,137.40069,43238,44.64394612,5.2,1815857,20.36052398,19.36270312,63192,3.480009714,4451,0.245118421,15071,0.829966236,533,0.029352532,29065,1.600621635,1674557,92.21855025,6169,0.355398497,50.51262297,950184,51.27830959
55000,Wisconsin,0,2019,6291.219118,15.37680538,7.281945048,17.05671784,31.1,8.8,19.5,85.63529082,26.22237368,35.76719577,466,18.29320496,6.28172987,79.84484,68.00123,189.07829,3971,88.6,68.8229195,3.28911154,14.6,106333,24909,31.45578855,11.58909569,298.1292397,77.08919893,8.6,0,14.92450323,26.8,62411,306.7,48.88529902,6.027428737,9.2,122,10.5,18.03923178,10.09334482,3.731883295,103.73596,59300,37.44514103,3.4,5795483,22.13178781,16.47070658,367689,6.344406497,66752,1.151793561,168435,2.906315142,3209,0.055370709,398780,6.88087602,4713993,81.3390877,77686,1.431803375,50.25888265,1697348,29.84617863
56000,Wyoming,0,2019,7307.824667,15.1279864,8.606157904,18.94626493,28.5,6.9,23.1,76.06533411,19.87127059,35.65640195,351.5,29.94868006,13.41715201,67.80518,66.11256,318.13435,3542,86.2,67.10320948,4.202901021,12.9,111435,26296,26.88694431,13.44148003,219.8940883,90.78963333,4.8,0,11.68315959,14.8,6960,347.4,52.29803729,5.307050796,8.5,59.7,12.6,15.07776184,17.67469889,8.171870084,97.52898,61279,38.59947491,3.3,579315,23.55937616,15.81298603,6529,1.127020706,15743,2.71751983,5880,1.014991844,579,0.099945625,58122,10.03288366,486565,83.98971199,5262,0.964190104,49.00218361,198633,35.24198671
